# t x y z qx qy qz qw
1726601856.843734980 13.978780817 0.296735338 3.955834605 -0.043584128 -0.203570290 -0.009356905 0.978044993
1726601856.846237898 14.036647808 0.299080075 3.980144734 -0.043621938 -0.204096126 -0.009367264 0.977933613
1726601856.848732948 14.094479261 0.301434799 4.004512662 -0.043659607 -0.204621894 -0.009377601 0.977821957
1726601856.851239920 14.152275074 0.303799514 4.028938319 -0.043697156 -0.205147594 -0.009387925 0.977710024
1726601856.853833914 14.210035145 0.306174227 4.053421636 -0.043734605 -0.205673218 -0.009398248 0.977597813
1726601856.856264114 14.267759373 0.308558940 4.077962544 -0.043771971 -0.206198767 -0.009408579 0.977485326
1726601856.858752012 14.325447423 0.310953651 4.102560868 -0.043809202 -0.206724237 -0.009418893 0.977372564
1726601856.861275911 14.383099193 0.313358363 4.127216538 -0.043846318 -0.207249624 -0.009429202 0.977259527
1726601856.863791943 14.440714585 0.315773080 4.151929482 -0.043883338 -0.207774927 -0.009439518 0.977146216
1726601856.866283894 14.498293498 0.318197808 4.176699629 -0.043920279 -0.208300142 -0.009449847 0.977032630
1726601856.868807077 14.555835835 0.320632550 4.201526908 -0.043957154 -0.208825267 -0.009460199 0.976918769
1726601856.871285915 14.613341496 0.323077312 4.226411246 -0.043993977 -0.209350300 -0.009470584 0.976804632
1726601856.873790026 14.670810382 0.325532096 4.251352572 -0.044030761 -0.209875237 -0.009481008 0.976690221
1726601856.876240015 14.728242396 0.327996908 4.276350812 -0.044067517 -0.210400077 -0.009491479 0.976575534
1726601856.878782034 14.785636152 0.330471699 4.301405316 -0.044103893 -0.210924816 -0.009501815 0.976460590
1726601856.881318092 14.842991556 0.332956473 4.326516005 -0.044139932 -0.211449450 -0.009512037 0.976345389
1726601856.883790970 14.900308515 0.335451232 4.351682801 -0.044175672 -0.211973977 -0.009522165 0.976229928
1726601856.886301994 14.957586938 0.337955980 4.376905625 -0.044211150 -0.212498395 -0.009532219 0.976114206
1726601856.888763905 15.014826730 0.340470720 4.402184400 -0.044246396 -0.213022701 -0.009542211 0.975998223
1726601856.891309977 15.072027800 0.342995454 4.427519045 -0.044281440 -0.213546894 -0.009552160 0.975881978
1726601856.893769979 15.129190056 0.345530186 4.452909483 -0.044316307 -0.214070968 -0.009562079 0.975765470
1726601856.896245956 15.186313405 0.348074918 4.478355635 -0.044351022 -0.214594923 -0.009571981 0.975648698
1726601856.898801088 15.243397641 0.350629648 4.503857367 -0.044385573 -0.215118757 -0.009581859 0.975531665
1726601856.901349068 15.300442672 0.353194378 4.529414600 -0.044419982 -0.215642467 -0.009591726 0.975414369
