# t x y z qx qy qz qw
1726601193.039758921 6.160331730 0.091017180 1.280285552 -0.032996427 -0.133534928 -0.003629038 0.990488005
1726601193.042277098 6.217729535 0.092244477 1.295159867 -0.032974121 -0.133992309 -0.003597693 0.990427092
1726601193.044764042 6.275086708 0.093478296 1.310078850 -0.032951304 -0.134449277 -0.003565973 0.990366037
1726601193.047261953 6.332403211 0.094718627 1.325042392 -0.032928040 -0.134905823 -0.003533898 0.990304839
1726601193.049738884 6.389677248 0.095965424 1.340049895 -0.032903975 -0.135361942 -0.003501368 0.990243512
1726601193.052275896 6.446908785 0.097218676 1.355101245 -0.032879199 -0.135817622 -0.003468409 0.990182055
1726601193.054760933 6.504097789 0.098478372 1.370196322 -0.032853794 -0.136272859 -0.003435050 0.990120466
1726601193.057333946 6.561244229 0.099744501 1.385335012 -0.032827836 -0.136727643 -0.003401317 0.990058744
1726601193.059799910 6.618348071 0.101017052 1.400517198 -0.032801395 -0.137181968 -0.003367235 0.989996888
1726601193.062285900 6.675409284 0.102296014 1.415742763 -0.032774532 -0.137635828 -0.003332827 0.989934897
1726601193.064893961 6.732427836 0.103581375 1.431011591 -0.032747304 -0.138089214 -0.003298115 0.989872772
1726601193.067281961 6.789403695 0.104873126 1.446323564 -0.032719765 -0.138542121 -0.003263120 0.989810512
1726601193.069782972 6.846334924 0.106171212 1.461678025 -0.032691514 -0.138994543 -0.003227720 0.989748131
1726601193.072300911 6.903221497 0.107475623 1.477074848 -0.032662635 -0.139446471 -0.003191944 0.989685630
1726601193.074784040 6.960063389 0.108786345 1.492513910 -0.032633201 -0.139897900 -0.003155820 0.989623005
1726601193.077321053 7.016860575 0.110103368 1.507995087 -0.032603282 -0.140348825 -0.003119370 0.989560257
1726601193.079804897 7.073613030 0.111426677 1.523518254 -0.032572937 -0.140799236 -0.003082618 0.989497386
1726601193.082281113 7.130320729 0.112756262 1.539083289 -0.032542224 -0.141249130 -0.003045588 0.989434390
1726601193.084897041 7.186983647 0.114092109 1.554690067 -0.032511193 -0.141698503 -0.003008299 0.989371268
1726601193.087295055 7.243601762 0.115434206 1.570338464 -0.032479893 -0.142147346 -0.002970771 0.989308022
1726601193.089801073 7.300174301 0.116782525 1.586028138 -0.032448190 -0.142595656 -0.002932968 0.989244657
1726601193.092297077 7.356701243 0.118137051 1.601758963 -0.032416140 -0.143043427 -0.002894910 0.989181172
1726601193.094774008 7.413182567 0.119497774 1.617530811 -0.032383791 -0.143490655 -0.002856616 0.989117567
1726601193.097268105 7.469618253 0.120864678 1.633343556 -0.032351186 -0.143937333 -0.002818107 0.989053842
1726601193.099837065 7.526008280 0.122237753 1.649197072 -0.032318367 -0.144383458 -0.002779402 0.988989997
1726601193.102319956 7.582352627 0.123616984 1.665091231 -0.032285369 -0.144829026 -0.002740516 0.988926032
1726601193.104861021 7.638651274 0.125002360 1.681025908 -0.032252227 -0.145274032 -0.002701467 0.988861948
1726601193.107347012 7.694904203 0.126393867 1.697000975 -0.032218969 -0.145718473 -0.002662268 0.988797743
1726601193.109792948 7.751109744 0.127791454 1.713015811 -0.032185245 -0.146162343 -0.002622809 0.988733432
1726601193.112293959 7.807267882 0.129195105 1.729070282 -0.032151112 -0.146605638 -0.002583111 0.988669015
1726601193.114823103 7.863378604 0.130604808 1.745164256 -0.032116622 -0.147048354 -0.002543195 0.988604489
